iter	Passed	Remaining
0	132	132341
1	132	66320
2	133	44270
3	133	33242
4	133	26621
5	134	22211
6	134	19058
7	134	16692
8	134	14854
9	135	13382
10	135	12177
11	135	11176
12	136	10327
13	136	9598
14	136	8967
15	136	8416
16	137	7932
17	137	7500
18	137	7115
19	138	6766
20	138	6454
21	138	6167
22	139	5908
23	139	5670
24	139	5449
25	140	5246
26	140	5056
27	140	4881
28	140	4718
29	141	4566
30	141	4424
31	141	4290
32	142	4166
33	142	4048
34	142	3936
35	143	3831
36	143	3731
37	143	3636
38	143	3546
39	144	3461
40	144	3380
41	144	3303
42	145	3229
43	145	3159
44	145	3091
45	145	3027
46	146	2965
47	146	2906
48	146	2849
49	147	2795
50	147	2743
51	147	2692
52	147	2644
53	148	2597
54	148	2552
55	148	2509
56	149	2467
57	149	2426
58	149	2386
59	149	2349
60	150	2312
61	150	2276
62	150	2241
63	150	2207
64	151	2175
65	151	2143
66	151	2113
67	152	2083
68	152	2054
69	152	2026
70	152	1999
71	153	1972
72	153	1946
73	153	1921
74	153	1897
75	154	1873
76	154	1850
77	154	1827
78	154	1804
79	155	1783
80	155	1762
81	155	1742
82	155	1723
83	156	1703
84	156	1684
85	156	1666
86	157	1647
87	157	1629
88	157	1612
89	157	1595
90	158	1578
91	158	1562
92	158	1546
93	158	1531
94	159	1516
95	159	1500
96	159	1486
97	159	1472
98	160	1457
99	160	1444
100	160	1430
101	160	1417
102	161	1404
103	161	1391
104	161	1378
105	162	1366
106	162	1354
107	162	1342
108	162	1330
109	163	1319
110	163	1308
111	163	1297
112	163	1286
113	164	1275
114	164	1264
115	164	1254
116	164	1244
117	165	1234
118	165	1225
119	165	1215
120	166	1206
121	166	1196
122	166	1187
123	166	1178
124	167	1169
125	167	1161
126	167	1152
127	167	1143
128	168	1135
129	168	1127
130	168	1119
131	168	1111
132	169	1103
133	169	1095
134	169	1087
135	170	1080
136	170	1072
137	170	1065
138	170	1057
139	171	1050
140	171	1043
141	171	1036
142	171	1029
143	172	1023
144	172	1016
145	172	1009
146	172	1003
147	173	997
148	173	990
149	173	984
150	173	978
151	174	972
152	174	966
153	174	960
154	175	954
155	175	948
156	175	942
157	175	937
158	176	931
159	176	925
160	176	920
161	176	915
162	177	910
163	177	905
164	177	899
165	178	894
166	178	889
167	178	884
168	178	879
169	179	874
170	179	869
171	179	864
172	179	860
173	180	855
174	180	852
175	181	848
176	181	843
177	181	839
178	182	835
179	182	830
180	182	826
181	182	822
182	183	818
183	183	813
184	183	809
185	184	805
186	184	801
187	184	797
188	184	793
189	185	788
190	185	784
191	185	780
192	185	777
193	186	773
194	186	769
195	186	765
196	186	761
197	187	757
198	187	754
199	187	750
200	187	746
201	188	743
202	188	739
203	188	736
204	188	732
205	189	729
206	189	725
207	189	722
208	189	718
209	190	715
210	190	712
211	190	708
212	190	705
213	191	702
214	191	699
215	191	695
216	191	692
217	192	689
218	192	686
219	192	683
220	193	680
221	193	677
222	193	674
223	193	671
224	194	668
225	194	665
226	194	662
227	194	659
228	195	656
229	195	654
230	195	651
231	195	648
232	196	645
233	196	643
234	196	640
235	196	637
236	197	634
237	197	632
238	197	629
239	198	627
240	198	624
241	198	621
242	198	619
243	199	616
244	199	614
245	199	611
246	199	609
247	200	606
248	200	604
249	200	601
250	200	599
251	201	597
252	201	594
253	201	592
254	201	589
255	202	587
256	202	585
257	202	582
258	202	580
259	203	578
260	203	575
261	203	573
262	203	571
263	204	569
264	204	567
265	204	565
266	205	562
267	205	560
268	205	558
269	205	556
270	206	554
271	206	552
272	206	550
273	206	548
274	207	546
275	207	544
276	207	541
277	207	539
278	208	537
279	208	535
280	208	533
281	208	531
282	209	530
283	209	528
284	209	526
285	209	524
286	210	522
287	210	520
288	210	518
289	211	516
290	211	515
291	211	513
292	211	511
293	212	509
294	212	507
295	212	506
296	213	504
297	213	502
298	213	500
299	213	498
300	214	497
301	214	495
302	214	493
303	214	491
304	215	490
305	215	488
306	215	486
307	215	485
308	216	483
309	216	481
310	216	480
311	217	478
312	217	477
313	217	475
314	218	474
315	218	472
316	218	471
317	218	469
318	219	467
319	219	466
320	219	464
321	219	463
322	220	461
323	220	460
324	220	458
325	221	456
326	221	455
327	221	453
328	221	452
329	222	450
330	222	449
331	222	448
332	223	446
333	223	445
334	223	444
335	223	442
336	224	441
337	224	439
338	224	438
339	224	436
340	225	435
341	225	433
342	225	432
343	226	431
344	226	429
345	226	428
346	226	426
347	227	425
348	227	424
349	227	422
350	227	421
351	228	419
352	228	418
353	228	417
354	229	416
355	229	414
356	229	413
357	230	412
358	230	411
359	230	410
360	230	408
361	231	407
362	231	406
363	231	404
364	231	403
365	232	402
366	232	401
367	232	399
368	233	398
369	233	397
370	233	396
371	233	394
372	234	393
373	234	392
374	234	391
375	234	389
376	235	388
377	235	387
378	235	386
379	236	385
380	236	384
381	236	382
382	236	381
383	237	380
384	237	379
385	237	378
386	237	376
387	238	375
388	238	374
389	238	373
390	239	372
391	239	371
392	239	369
393	239	368
394	240	367
395	240	366
396	240	365
397	240	364
398	241	363
399	241	362
400	241	360
401	241	359
402	242	358
403	242	357
404	242	356
405	242	355
406	243	354
407	243	353
408	243	352
409	243	351
410	244	350
411	244	348
412	244	347
413	245	346
414	245	345
415	245	344
416	245	343
417	246	342
418	246	341
419	246	340
420	246	339
421	247	338
422	247	337
423	247	336
424	247	335
425	248	334
426	248	333
427	248	332
428	248	331
429	249	330
430	249	329
431	249	328
432	249	327
433	250	326
434	250	325
435	250	324
436	251	323
437	251	322
438	251	321
439	251	320
440	252	319
441	252	318
442	252	317
443	252	316
444	253	315
445	253	314
446	253	313
447	253	312
448	254	311
449	254	311
450	254	310
451	255	309
452	255	308
453	255	307
454	255	306
455	256	305
456	256	304
457	256	303
458	256	302
459	257	301
460	257	301
461	257	300
462	257	299
463	258	298
464	258	297
465	258	296
466	259	295
467	259	294
468	259	293
469	259	292
470	260	292
471	260	291
472	260	290
473	260	289
474	261	288
475	261	287
476	261	286
477	261	286
478	262	285
479	262	284
480	262	283
481	263	282
482	263	281
483	263	280
484	263	280
485	264	279
486	264	278
487	264	277
488	264	276
489	265	275
490	265	275
491	265	274
492	265	273
493	266	272
494	266	271
495	266	271
496	267	270
497	267	269
498	267	268
499	267	267
500	268	267
501	268	266
502	268	265
503	269	264
504	269	264
505	269	263
506	269	262
507	270	261
508	270	260
509	270	260
510	271	259
511	271	258
512	271	257
513	272	257
514	272	256
515	273	256
516	273	255
517	274	255
518	274	254
519	274	253
520	275	252
521	275	252
522	275	251
523	275	250
524	276	249
525	276	249
526	276	248
527	276	247
528	277	246
529	277	246
530	277	245
531	277	244
532	278	243
533	278	243
534	278	242
535	279	241
536	279	240
537	279	240
538	280	239
539	280	238
540	280	238
541	280	237
542	281	236
543	281	235
544	281	235
545	281	234
546	282	233
547	282	232
548	282	232
549	283	231
550	283	230
551	283	230
552	283	229
553	284	228
554	284	228
555	284	227
556	284	226
557	285	225
558	285	225
559	285	224
560	286	223
561	286	223
562	286	222
563	286	221
564	287	221
565	287	220
566	287	219
567	287	218
568	288	218
569	288	217
570	288	216
571	288	216
572	289	215
573	289	214
574	289	214
575	289	213
576	290	212
577	290	212
578	290	211
579	291	210
580	291	210
581	291	209
582	292	208
583	292	208
584	292	207
585	292	206
586	293	206
587	293	205
588	293	204
589	293	204
590	294	203
591	294	202
592	294	202
593	294	201
594	295	200
595	295	200
596	295	199
597	295	198
598	296	198
599	296	197
600	296	196
601	297	196
602	297	195
603	297	195
604	297	194
605	298	193
606	298	193
607	298	192
608	298	191
609	299	191
610	299	190
611	299	189
612	299	189
613	300	188
614	300	188
615	300	187
616	300	186
617	301	186
618	301	185
619	301	184
620	301	184
621	302	183
622	302	183
623	302	182
624	302	181
625	303	181
626	303	180
627	304	180
628	304	179
629	304	178
630	305	178
631	305	177
632	305	177
633	305	176
634	306	175
635	306	175
636	306	174
637	306	174
638	307	173
639	307	172
640	307	172
641	307	171
642	308	171
643	308	170
644	308	169
645	308	169
646	309	168
647	309	168
648	309	167
649	310	166
650	310	166
651	310	165
652	310	165
653	311	164
654	311	164
655	311	163
656	311	162
657	312	162
658	312	161
659	312	161
660	313	160
661	313	160
662	313	159
663	314	158
664	314	158
665	314	157
666	314	157
667	315	156
668	315	156
669	315	155
670	316	154
671	316	154
672	316	153
673	316	153
674	317	152
675	317	152
676	317	151
677	317	150
678	318	150
679	318	149
680	318	149
681	318	148
682	319	148
683	319	147
684	319	147
685	320	146
686	320	146
687	320	145
688	321	144
689	321	144
690	321	143
691	321	143
692	322	142
693	322	142
694	322	141
695	323	141
696	323	140
697	323	140
698	324	139
699	324	138
700	324	138
701	324	137
702	325	137
703	325	136
704	325	136
705	326	135
706	326	135
707	326	134
708	326	134
709	327	133
710	327	133
711	327	132
712	328	132
713	328	131
714	328	131
715	329	130
716	329	129
717	329	129
718	329	128
719	330	128
720	330	127
721	330	127
722	330	126
723	331	126
724	331	125
725	331	125
726	332	124
727	332	124
728	332	123
729	332	123
730	333	122
731	333	122
732	333	121
733	334	121
734	334	120
735	334	120
736	334	119
737	335	119
738	335	118
739	335	118
740	336	117
741	336	116
742	336	116
743	336	115
744	337	115
745	337	114
746	337	114
747	337	113
748	338	113
749	338	112
750	338	112
751	339	111
752	339	111
753	339	110
754	339	110
755	340	109
756	340	109
757	340	108
758	340	108
759	341	107
760	341	107
761	341	106
762	341	106
763	342	105
764	342	105
765	342	104
766	342	104
767	343	103
768	343	103
769	343	102
770	343	102
771	344	101
772	344	101
773	344	100
774	344	100
775	345	99
776	345	99
777	345	98
778	345	98
779	346	97
780	346	97
781	346	96
782	346	96
783	347	95
784	347	95
785	347	94
786	347	94
787	348	93
788	348	93
789	348	92
790	348	92
791	349	91
792	349	91
793	349	90
794	350	90
795	350	89
796	350	89
797	350	88
798	351	88
799	351	87
800	351	87
801	351	86
802	352	86
803	352	85
804	352	85
805	353	85
806	353	84
807	353	84
808	354	83
809	354	83
810	354	82
811	354	82
812	355	81
813	355	81
814	355	80
815	355	80
816	356	79
817	356	79
818	356	78
819	356	78
820	357	77
821	357	77
822	357	76
823	358	76
824	358	76
825	358	75
826	358	75
827	359	74
828	359	74
829	359	73
830	359	73
831	360	72
832	360	72
833	360	71
834	360	71
835	361	70
836	361	70
837	361	69
838	362	69
839	362	69
840	362	68
841	362	68
842	363	67
843	363	67
844	363	66
845	363	66
846	364	65
847	364	65
848	364	64
849	365	64
850	365	64
851	365	63
852	366	63
853	366	62
854	366	62
855	366	61
856	367	61
857	367	60
858	367	60
859	368	59
860	368	59
861	368	59
862	368	58
863	369	58
864	369	57
865	369	57
866	370	56
867	370	56
868	370	55
869	370	55
870	371	54
871	371	54
872	371	54
873	372	53
874	372	53
875	372	52
876	373	52
877	373	51
878	373	51
879	373	50
880	374	50
881	374	50
882	374	49
883	375	49
884	375	48
885	375	48
886	375	47
887	376	47
888	376	47
889	377	46
890	377	46
891	377	45
892	377	45
893	378	44
894	378	44
895	378	43
896	379	43
897	379	43
898	379	42
899	379	42
900	380	41
901	380	41
902	380	40
903	380	40
904	381	40
905	381	39
906	381	39
907	382	38
908	382	38
909	382	37
910	383	37
911	383	37
912	383	36
913	384	36
914	384	35
915	384	35
916	384	34
917	385	34
918	385	33
919	385	33
920	386	33
921	386	32
922	386	32
923	386	31
924	387	31
925	387	30
926	387	30
927	387	30
928	388	29
929	388	29
930	388	28
931	389	28
932	389	27
933	389	27
934	389	27
935	390	26
936	390	26
937	390	25
938	391	25
939	391	24
940	391	24
941	391	24
942	392	23
943	392	23
944	392	22
945	392	22
946	393	21
947	393	21
948	393	21
949	393	20
950	394	20
951	394	19
952	394	19
953	394	19
954	395	18
955	395	18
956	395	17
957	396	17
958	396	16
959	396	16
960	396	16
961	397	15
962	397	15
963	397	14
964	397	14
965	398	14
966	398	13
967	398	13
968	398	12
969	399	12
970	399	11
971	399	11
972	399	11
973	400	10
974	400	10
975	400	9
976	400	9
977	401	9
978	401	8
979	401	8
980	402	7
981	402	7
982	402	6
983	402	6
